Cartridge,Bullet_Weight,Bullet_Type,C_O_L,Powder,Start_Charge,Start_Velocity,Max_Charge,Max_Velocity
300 Rem Ultra Mag (26" BBL),220,ELD-X,3.600",RL-26,76.3,2600,87.7,2950
30-378 Wby Mag (26" BBL),220,ELD-X,3.645",RL-33,100.4,2800,108.8,3100
32-20 Win WCF (18.5" BBL),100,XTP,1.550",H110,11.0,1800,15.4,2200
7.62x39 (20" BBL),123,SST,2.190",H4198,17.2,1900,25.7,2400
7.65x53 Belgian (29" BBL),174,FMJ-BT,2.870",H4895,36.5,2200,43.9,2600
303 British (25.25" BBL),174,FMJ-BT,2.980",IMR 4064,31.4,2000,39.3,2400
7.7x58 Jap (25.5" BBL),174,FMJ-BT,3.025",H4895,36.5,2200,43.9,2600
32 Win Special (20" BBL),170,InterLock,2.565",LEVERevoloution,33.1,2000,38.5,2300
8x57 Mauser (24" BBL),180,GMX,2.974",Varget,40.8,2200,48.2,2600
8mmx06 (23.5" BBL),195,InterLock,3.100",H4350,47.0,2200,53.9,2500
325 WSM (23" BBL),195,InterLock,2.850",RL-19,61.7,2500,70.6,2850
8x68mm S (26" BBL),195,InterLock,3.410",H4350,57.0,2500,68.2,2900
8mm Rem Mag (24" BBL),195,InterLock,3.595",H4831,68.9,2400,81.1,2800
33 Win (24" BBL),200,FTX,2.690",H4895,35.1,1700,45.1,2000
338 Marlin Express (24" BBL),200,FTX,2.585",LEVERevoloution,41.4,2000,47.1,2400
338 Federal (26" BBL),200,SST,2.815",IMR 8208xbr,34.7,2200,46.0,2650
338x06 (23.5" BBL),225,SST,3.310",Varget,37.6,2200,51.4,2600
338 RCM (20" BBL),225,SST,2.845",Varget,47.8,2300,53.1,2500
338 Win Mag (24" BBL),225,SST,3.320",H4831,60.9,2300,73.5,2700
340 Wby Mag (26" BBL),250,InterLock,3.650",RL-19,73.5,2500,84.2,2900
338 Rem Ultra Mag (26" BBL),250,InterLock,3.580",RL-22,82.4,2600,91.8,2900
338 Lapua Mag (27.17" BBL),285,ELD-Match,3.665",RL-26,77.2,2400,86.4,2700
338-378 Wby Mag (28" BBL),250,InterLock,3.730",RL-25,92.6,2500,107.3,3000
348 Win (24" BBL),200,FTX,2.785",H4350,54.4,2300,64.0,2650
350 Legend (16" BBL),165,FTX,2.245",H110,20.2,2000,26.0,2250
357 Magnum Rifle (16" BBL),158,XTP,1.590",H110,8.6,1200,15.5,1650
35 Remington (20" BBL),200,FTX,2.495",LEVERevoloution,26.6,1600,42.7,2100
356 Winchester (20.25" BBL),200,FTX,2.600",H4895,39.9,2100,44.5,2400
358 Winchester (24" BBL),200,InterLock,2.630",H4895,40.9,2200,47.7,2500
350 Rem Mag (18.5" BBL),200,InterLock,2.800",H4895,49.7,2200,57.9,2600
35 Whelen (22" BBL),250,InterLock,3.232",H4895,45.9,2100,55.1,2500
358 Norma Mag (25.5" BBL),250,InterLock,3.300",H4895,55.7,2400,66.4,2800
9.3x74R (23.6" BBL),286,InterLock,3.630",H4350,51.0,2000,60.9,2300
9.3x62 (23.6" BBL),286,InterLock,3.125",Varget,50.1,2000,57.5,2300
376 Steyr (25.5" BBL),270,InterLock,3.080",H4895,50.5,2200,62.2,2600
375 Ruger (20" BBL),300,DGS,3.290",H4350,68.2,2200,79.4,2500
375 H&H Mag (24" BBL),300,DGS,3.560",Varget,53.5,2100,69.3,2500
375 Wby Mag (24" BBL),300,DGS,3.585",H4350,72.6,2300,87.1,2700
375 Rem Ultra Mag (26" BBL),300,DGS,3.590",H4831,80.7,2300,94.8,2700
378 Wby Mag (26" BBL),300,DGS,3.650",H4831,97.1,2600,107.9,2900
405 Winchester (24" BBL),300,InterLock,3.085",H4895,44.9,1800,55.8,2250
450/400 Nitro Express (24" BBL),400,DGS,3.685",H4831,69.3,1800,82.3,2050
416 Rigby (24" BBL),400,DGS,3.580",H4831,84.8,2100,98.6,2400
416 Ruger (20" BBL),400,DGS,3.235",RL-15,66.9,2000,75.5,2250
416 Rem Mag (24" BBL),400,DGS,3.520",Varget,73.5,2250,78.0,2350
416 Wby Mag (26" BBL),400,DGS,3.735",H4831,94.2,2300,115.0,2700
416 Barrett (32" BBL),450,BTHP,4.540",RL-50,156.0,2500,180.2,2900
404 Jeffrey (24" BBL),400,DGS,3.500",H4350,72.1,2000,78.9,2200
44 Rem Mag Rifle (18" BBL),240,XTP,1.600",H110,19.4,1400,24.8,1800
444 Marlin (24" BBL),265,FTX,2.580",H4198,38.0,1950,42.8,2250
45 Colt Rifle (20" BBL),225,FTX,1.645",Accurate #5,8.0,850,10.3,1150
450 Bushmaster (16" BBL),250,FTX,2.225",H110,28.1,1700,39.2,2100
45-70 Trap Door (29.5" BBL),300,HP,2.550",RL-7,31.6,1300,45.7,1900
45-70 Marlin 1895,325,FTX,2.590",H4198,42.0,1800,47.9,2100
45-70 Ruger #1 (22" BBL),350,InterLock,2.545",RL-7,44.8,1700,55.5,2100
450 Marlin (18.5" BBL),350,InterLock,2.535",H4198,39.9,1600,47.9,2000
450 Nitro Express (24" BBL),480,DGS,3.935",H4831,78.3,1800,94.1,2100
458 Win Mag (24" BBL),500,DGS,3.310",H4895,66.5,1950,75.7,2150
458 Lott (24" BBL),500,DGS,3.585",RL-15,67.6,1900,76.6,2150
450 Rigby (24" BBL),500,DGS,3.675",RL-17,93.7,2200,108.3,2500
460 Wby Mag (26" BBL),500,DGS,3.710",RL-19,113.5,2300,124.7,2550
470 Nitro Express (24" BBL),500,DGS,3.965",H4831,95.6,1900,112.7,2150
50 Beowulf (16" BBL),300,XTP,2.010",H110,35.9,1500,44.5,1900
505 Gibbs (24" BBL),525,DGS,3.835",RL-25,132.9,2000,148.9,2300
500 Nitro Express (24" BBL),570,DGS,3.730",H4350,90.1,1900,102.3,2100
50 BMG (36" BBL),750,A-Max,5.730",RL-50,206.0,2400,235.2,2700
